book_name,grade,toc_page,lecture_no,title,category,related_lecture,track,source_text
竞赛数学导引 三年级,3,14,1,四则运算一,计算问题,1,高思导引,第1讲 | 四则运算一 | （计算问题第1讲）. | 1(答161)
竞赛数学导引 三年级,3,14,2,基本应用题,,,高思导引,第2讲 | 基本应用题 | （应用题第1讲）. | 8(答164)
竞赛数学导引 三年级,3,14,3,枚举法一,计数问题,1,高思导引,第3讲 | 枚举法一 | （计数问题第1讲）. | 14(答167)
竞赛数学导引 三年级,3,14,4,找规律,计算问题,2,高思导引,第4讲 | 找规律 | （计算问题第2讲）： | 21(答173）
竞赛数学导引 三年级,3,14,5,和差倍问题一,,,高思导引,第5讲 | 和差倍问题一 | （应用题第2讲）. | 28(答177)
竞赛数学导引 三年级,3,14,6,简单加减法竖式,数字谜问题,1,高思导引,第6讲 | 简单加减法竖式 | （数字谜问题第1讲）. | 34(答181)
竞赛数学导引 三年级,3,14,7,周期问题,,,高思导引,第7讲 | 周期问题 | （应用题第3讲）. | 41(答188)
竞赛数学导引 三年级,3,14,8,鸡兔同笼问题一,,,高思导引,第8讲 | 鸡兔同笼问题一 | （应用题第4讲）. | ....... | 49（答193）
竞赛数学导引 三年级,3,14,9,等差数列,计算问题,3,高思导引,第9讲 | 等差数列 | （计算问题第3讲）. | 55(答199)
竞赛数学导引 三年级,3,14,10,几何图形的认知,几何问题,1,高思导引,第10讲 | 几何图形的认知 | （几何问题第1讲） | 62（答205）
竞赛数学导引 三年级,3,14,11,盈亏问题一,,,高思导引,第11讲 | 盈亏问题一 | （应用题第5讲）.…..· | 70(答211) | 目录
竞赛数学导引 三年级,3,15,12,智巧趣题一,组合问题,1,高思导引,第12讲 | 智巧趣题一 | （组合问题第1讲）.…....…. | 77（答215）
竞赛数学导引 三年级,3,15,13,四则运算二,计算问题,4,高思导引,第13讲 | 四则运算二 | （计算问题第4讲）. | 86（答220)
竞赛数学导引 三年级,3,15,14,枚举法二,计数问题,2,高思导引,第14讲 | 枚举法二 | （计数问题第2讲）· | 91(答223)
竞赛数学导引 三年级,3,15,15,和差倍问题二,,,高思导引,第15讲 | 和差倍问题二 | （应用题第6讲） | 98(答230)
竞赛数学导引 三年级,3,15,16,简单乘除法竖式,数字谜问题,2,高思导引,第16讲 | 简单乘除法竖式 | （数字谜问题第2讲） | 104(答236)
竞赛数学导引 三年级,3,15,17,鸡兔同笼问题二,,,高思导引,第17讲 | 鸡兔同笼问题二 | （应用题第7讲）.· | 110(答243)
竞赛数学导引 三年级,3,15,18,四则运算三,,,高思导引,第18讲 | 四则运算三
竞赛数学导引 三年级,3,15,19,间隔与阵列,,,高思导引,第19讲 | 间隔与阵列 | （应用题第8讲） | 121（答253）
竞赛数学导引 三年级,3,15,20,算符与数字,数字谜问题,3,高思导引,第20讲 | 算符与数字 | （数字谜问题第3讲）..….128（答259)
竞赛数学导引 三年级,3,15,21,盈亏问题二,,,高思导引,第21讲 | 盈亏问题二 | （应用题第9讲）. | .134（答264)
竞赛数学导引 三年级,3,15,22,长度与角度的计算,几何问题,2,高思导引,第22讲 | 长度与角度的计算 | （几何问题第2讲）， | 140(答266)
