grade,lecture_no,lecture_title,topic_domain,question_count,section_count,missing_sections,interest_count,extension_count,challenge_count,structure_signals
3,1,四则运算一,calculation,32,3,,10,14,8,
3,2,基本应用题,application,29,3,,10,14,5,defined_operation|travel_chain
3,3,枚举法一,counting,33,3,,10,14,9,case_analysis
3,4,找规律,pattern,32,3,,10,14,8,recursive_or_sequence
3,5,和差倍问题一,general,29,3,,10,13,6,travel_chain
3,6,简单加减法竖式,general,31,3,,9,14,8,
3,7,周期问题,pattern,30,3,,9,13,8,recursive_or_sequence|travel_chain
3,8,鸡兔同笼问题一,general,28,3,,9,11,8,defined_operation
3,9,等差数列,pattern,31,3,,10,13,8,recursive_or_sequence
3,10,几何图形的认知,geometry,33,3,,10,15,8,case_analysis|geometry_transform
3,11,盈亏问题一,general,27,3,,9,11,7,
3,12,智巧趣题一,general,31,3,,10,13,8,
3,13,四则运算二,calculation,30,2,超越篇,10,20,0,
3,14,枚举法二,counting,31,3,,9,14,8,case_analysis
3,15,和差倍问题二,general,28,3,,10,13,5,
3,16,简单乘除法竖式,general,32,3,,10,14,8,
3,17,鸡兔同笼问题二,general,31,3,,10,14,7,
3,18,四则运算三,calculation,33,3,,10,14,9,
3,19,间隔与阵列,general,30,3,,10,13,7,travel_chain
3,20,算符与数字,general,30,3,,9,13,8,travel_chain
3,21,盈亏问题二,general,27,3,,9,10,8,
3,22,长度与角度的计算,calculation,32,3,,10,14,8,case_analysis
3,23,智巧趣题二,general,29,3,,9,12,8,defined_operation|travel_chain
4,1,整数计算综合,calculation,32,3,,10,14,8,defined_operation
4,2,数阵图初步,geometry,31,3,,10,14,7,
4,3,竖式问题,general,33,2,拓展篇,26,0,7,defined_operation
4,4,几何图形剪拼,geometry,31,3,,10,14,7,case_analysis|geometry_transform
4,5,行程问题一,application,31,3,,10,13,8,travel_chain
4,6,抽屉原理,counting,28,3,,9,12,7,case_analysis
4,7,直线形计算一,calculation,32,3,,10,14,8,recursive_or_sequence
4,8,和差倍问题三,general,29,3,,9,12,8,defined_operation
4,9,还原问题与年龄问题,logic,32,3,,9,15,8,
4,10,数列与数表,pattern,34,2,超越篇,10,24,0,geometry_transform|recursive_or_sequence
4,11,加法原理与乘法原理,general,32,3,,10,14,8,case_analysis|defined_operation
4,12,统筹与对策,general,32,3,,10,14,8,defined_operation|growth_consumption|work_rate
4,13,多位数与小数,calculation,34,2,超越篇,10,24,0,
