book_name,grade,semester,unit_no,title,textbook_page,toc_ocr_page,matched_alias,matched_in_ocr,source_text
人教版1年级数学上册,1,上,1,准备课,2,2,准备课,True,目 | 录 | 准备课 | 位置 | 1~5的认识
人教版1年级数学上册,1,上,2,位置,9,2,位置,True,目 | 录 | 准备课 | 位置 | 1~5的认识 | 和加减法
人教版1年级数学上册,1,上,3,1~5的认识和加减法,14,2,1~5的认识和加减法,True,目 | 录 | 准备课 | 位置 | 1~5的认识 | 和加减法 | 14 | 认识图形（一）
人教版1年级数学上册,1,上,4,认识图形（一）,34,2,认识图形（一）,True,目 | 录 | 准备课 | 位置 | 1~5的认识 | 和加减法 | 14 | 认识图形（一） | 34 | 6~10的认识
人教版1年级数学上册,1,上,5,6~10的认识和加减法,39,2,6~10的认识,True,准备课 | 位置 | 1~5的认识 | 和加减法 | 14 | 认识图形（一） | 34 | 6~10的认识 | 39 | 和加减法
人教版1年级数学上册,1,上,6,11~20各数的认识,73,3,11~20各数的认识,True,11~20各数的 | 认识 | 73 | 数学乐园
人教版1年级数学上册,1,上,活动,数学乐园,82,3,数学乐园,True,11~20各数的 | 认识 | 73 | 数学乐园 | 82 | 认识钟表
人教版1年级数学上册,1,上,7,认识钟表,84,3,认识钟表,True,11~20各数的 | 认识 | 73 | 数学乐园 | 82 | 认识钟表 | 84 | 20以内的
人教版1年级数学上册,1,上,8,20以内的进位加法,88,3,20以内的进位加法,True,认识 | 73 | 数学乐园 | 82 | 认识钟表 | 84 | 20以内的 | 进位加法 | 88 | 总复习
人教版1年级数学上册,1,上,9,总复习,104,3,总复习,True,数学乐园 | 82 | 认识钟表 | 84 | 20以内的 | 进位加法 | 88 | 总复习 | 104
人教版1年级数学下册,1,下,1,认识图形（二）,2,2,认识图形（二）,True,目录 | 认识图形 （二） | 20以内的 | 退位减法
人教版1年级数学下册,1,下,2,20以内的退位减法,8,2,20以内的退位减法,True,目录 | 认识图形 （二） | 20以内的 | 退位减法 | 分类与整理 | 27
人教版1年级数学下册,1,下,3,分类与整理,27,2,分类与整理,True,目录 | 认识图形 （二） | 20以内的 | 退位减法 | 分类与整理 | 27 | 100以内数的
人教版1年级数学下册,1,下,4,100以内数的认识,33,2,100以内数的,True,目录 | 认识图形 （二） | 20以内的 | 退位减法 | 分类与整理 | 27 | 100以内数的 | 33 | 认识
人教版1年级数学下册,1,下,活动,摆一摆，想一想,51,2,摆一摆，想一想,True,退位减法 | 分类与整理 | 27 | 100以内数的 | 33 | 认识 | 摆一摆， | 想一想 | 51
人教版1年级数学下册,1,下,5,认识人民币,52,3,认识人民币,True,认识人民币 | 52 | 100以内的加法
人教版1年级数学下册,1,下,6,100以内的加法和减法（一）,61,3,100以内的加法,True,认识人民币 | 52 | 100以内的加法 | 61 | 和减法（一）
人教版1年级数学下册,1,下,7,找规律,85,3,找规律,True,认识人民币 | 52 | 100以内的加法 | 61 | 和减法（一） | 找规律 | 85 | 总复习
人教版1年级数学下册,1,下,8,总复习,92,3,总复习,True,认识人民币 | 52 | 100以内的加法 | 61 | 和减法（一） | 找规律 | 85 | 总复习 | 92
人教版2年级数学上册,2,上,1,长度单位,2,2,长度单位,True,目 | 录 | 长度单位 | 100以内的加法 | 和减法（二)
人教版2年级数学上册,2,上,2,100以内的加法和减法（二）,11,2,100以内的加法和减法（二）,True,目 | 录 | 长度单位 | 100以内的加法 | 和减法（二) | 11 | 角的初步认识
人教版2年级数学上册,2,上,3,角的初步认识,38,2,角的初步认识,True,目 | 录 | 长度单位 | 100以内的加法 | 和减法（二) | 11 | 角的初步认识 | 38 | 表内乘法（一）
人教版2年级数学上册,2,上,4,表内乘法（一）,46,2,表内乘法（一）,True,录 | 长度单位 | 100以内的加法 | 和减法（二) | 11 | 角的初步认识 | 38 | 表内乘法（一） | 46 | 观察物体（一)
人教版2年级数学上册,2,上,5,观察物体（一）,68,2,观察物体（一）,True,100以内的加法 | 和减法（二) | 11 | 角的初步认识 | 38 | 表内乘法（一） | 46 | 观察物体（一) | 68 | 95
人教版2年级数学上册,2,上,6,表内乘法（二）,72,3,表内乘法（二）,True,表内乘法（二） | 72 | 量一量，比一比
人教版2年级数学上册,2,上,活动,量一量，比一比,88,3,量一量，比一比,True,表内乘法（二） | 72 | 量一量，比一比 | 88 | 认识时间
人教版2年级数学上册,2,上,7,认识时间,90,3,认识时间,True,表内乘法（二） | 72 | 量一量，比一比 | 88 | 认识时间 | 90 | 数学广角
人教版2年级数学上册,2,上,8,数学广角,97,3,数学广角,True,表内乘法（二） | 72 | 量一量，比一比 | 88 | 认识时间 | 90 | 数学广角 | 97 | 总复习
人教版2年级数学上册,2,上,9,总复习,100,3,总复习,True,72 | 量一量，比一比 | 88 | 认识时间 | 90 | 数学广角 | 97 | 总复习 | 100
人教版2年级数学下册,2,下,1,数据收集整理,2,2,数据收集整理,True,目录 | 数据收集整理 | 表内除法（一) | 图形的运动（一）
人教版2年级数学下册,2,下,2,表内除法（一）,7,2,表内除法（一）,True,目录 | 数据收集整理 | 表内除法（一) | 图形的运动（一） | 28
人教版2年级数学下册,2,下,3,图形的运动（一）,28,2,图形的运动（一）,True,目录 | 数据收集整理 | 表内除法（一) | 图形的运动（一） | 28 | 表内除法 (二)
人教版2年级数学下册,2,下,4,表内除法（二）,38,2,表内除法（二）,True,目录 | 数据收集整理 | 表内除法（一) | 图形的运动（一） | 28 | 表内除法 (二) | 混合运算 | 有余数的除法
人教版2年级数学下册,2,下,5,混合运算,47,2,混合运算,True,目录 | 数据收集整理 | 表内除法（一) | 图形的运动（一） | 28 | 表内除法 (二) | 混合运算 | 有余数的除法 | 59
人教版2年级数学下册,2,下,6,有余数的除法,59,2,有余数的除法,True,目录 | 数据收集整理 | 表内除法（一) | 图形的运动（一） | 28 | 表内除法 (二) | 混合运算 | 有余数的除法 | 59
人教版2年级数学下册,2,下,活动,小小设计师,72,3,小小设计师,True,小小设计师 | 72 | 万以内数的认识
人教版2年级数学下册,2,下,7,万以内数的认识,74,3,万以内数的认识,True,小小设计师 | 72 | 万以内数的认识 | 74 | 克和千克
人教版2年级数学下册,2,下,8,克和千克,100,3,克和千克,True,小小设计师 | 72 | 万以内数的认识 | 74 | 克和千克 | 100 | 数学广角
人教版2年级数学下册,2,下,9,数学广角-推理,109,3,数学广角推理,True,小小设计师 | 72 | 万以内数的认识 | 74 | 克和千克 | 100 | 数学广角 | 推理 | 109 | 10
人教版2年级数学下册,2,下,10,总复习,113,3,总复习,True,74 | 克和千克 | 100 | 数学广角 | 推理 | 109 | 10 | 总复习 | 113
人教版3年级数学上册,3,上,1,时、分、秒,2,2,时、分、秒,True,目录 | 时、分、秒 | 万以内的加法 | 和减法（一）
人教版3年级数学上册,3,上,2,万以内的加法和减法（一）,11,2,万以内的加法和减法（一）,True,目录 | 时、分、秒 | 万以内的加法 | 和减法（一） | 测量 | 万以内的加法
人教版3年级数学上册,3,上,3,测量,21,2,测量,True,目录 | 时、分、秒 | 万以内的加法 | 和减法（一） | 测量 | 万以内的加法 | 和减法（二）
人教版3年级数学上册,3,上,4,万以内的加法和减法（二）,36,2,万以内的加法和减法（二）,True,目录 | 时、分、秒 | 万以内的加法 | 和减法（一） | 测量 | 万以内的加法 | 和减法（二） | 36 | 倍的认识
人教版3年级数学上册,3,上,5,倍的认识,50,2,倍的认识,True,时、分、秒 | 万以内的加法 | 和减法（一） | 测量 | 万以内的加法 | 和减法（二） | 36 | 倍的认识 | 50 | 多位数乘一位数
人教版3年级数学上册,3,上,6,多位数乘一位数,56,2,多位数乘一位数,True,和减法（一） | 测量 | 万以内的加法 | 和减法（二） | 36 | 倍的认识 | 50 | 多位数乘一位数 | 56
人教版3年级数学上册,3,上,活动,数字编码,77,3,数字编码,True,数字编码 | 77 | 长方形和正方形
人教版3年级数学上册,3,上,7,长方形和正方形,79,3,长方形和正方形,True,数字编码 | 77 | 长方形和正方形 | 79 | 分数的初步认识
人教版3年级数学上册,3,上,8,分数的初步认识,89,3,分数的初步认识,True,数字编码 | 77 | 长方形和正方形 | 79 | 分数的初步认识 | 89 | 数学广角
人教版3年级数学上册,3,上,9,数学广角-集合,104,3,数学广角集合,True,数字编码 | 77 | 长方形和正方形 | 79 | 分数的初步认识 | 89 | 数学广角 | 集合 | 104 | 10
人教版3年级数学上册,3,上,10,总复习,108,3,总复习,True,79 | 分数的初步认识 | 89 | 数学广角 | 集合 | 104 | 10 | 总复习 | 108
人教版3年级数学下册,3,下,1,位置与方向（一）,2,2,位置与方向（一）,True,目录 | 位置与方向（一） | 除数是一位数 | 的除法
人教版3年级数学下册,3,下,2,除数是一位数的除法,11,2,除数是一位数的除法,True,目录 | 位置与方向（一） | 除数是一位数 | 的除法 | LL | 统计
人教版3年级数学下册,3,下,3,统计,36,2,统计,True,目录 | 位置与方向（一） | 除数是一位数 | 的除法 | LL | 统计 | 36 | 两位数乘两位数
人教版3年级数学下册,3,下,4,两位数乘两位数,41,2,两位数乘两位数,True,目录 | 位置与方向（一） | 除数是一位数 | 的除法 | LL | 统计 | 36 | 两位数乘两位数 | 41 | 面积
人教版3年级数学下册,3,下,5,面积,60,2,面积,True,除数是一位数 | 的除法 | LL | 统计 | 36 | 两位数乘两位数 | 41 | 面积 | 60 | 年、月、日
人教版3年级数学下册,3,下,6,年、月、日,76,2,年、月、日,True,LL | 统计 | 36 | 两位数乘两位数 | 41 | 面积 | 60 | 年、月、日 | 76
人教版3年级数学下册,3,下,活动,制作活动日历,90,3,制作活动日历,True,制作活动日历 | 90 | 小数的初步认识
人教版3年级数学下册,3,下,7,小数的初步认识,91,3,小数的初步认识,True,制作活动日历 | 90 | 小数的初步认识 | 91 | 数学广角
人教版3年级数学下册,3,下,8,数学广角,101,3,数学广角,True,制作活动日历 | 90 | 小数的初步认识 | 91 | 数学广角 | 101 | 我们的校园
人教版3年级数学下册,3,下,活动,我们的校园,106,3,我们的校园,True,制作活动日历 | 90 | 小数的初步认识 | 91 | 数学广角 | 101 | 我们的校园 | 106 | 总复习
人教版3年级数学下册,3,下,9,总复习,108,3,总复习,True,90 | 小数的初步认识 | 91 | 数学广角 | 101 | 我们的校园 | 106 | 总复习 | 108
人教版4年级数学上册,4,上,1,大数的认识,2,2,大数的认识,True,目 录 | 大数的认识 | 1亿有多大 | 33
人教版4年级数学上册,4,上,活动,1亿有多大,33,2,1亿有多大,True,目 录 | 大数的认识 | 1亿有多大 | 33 | 2
人教版4年级数学上册,4,上,2,公顷和平方千米,34,2,公顷和平方千米,True,目 录 | 大数的认识 | 1亿有多大 | 33 | 2 | 公顷和平方千米 | 34 | 角的度量
人教版4年级数学上册,4,上,3,角的度量,38,2,角的度量,True,目 录 | 大数的认识 | 1亿有多大 | 33 | 2 | 公顷和平方千米 | 34 | 角的度量 | 38 | 三位数乘两位数
